title,price,link,console
"WII CONSOLE, 4 CONTROLLERS/NUNCHUCKS, BALANCE BOARD,",85,https://charlottesville.craigslist.org/vgm/d/charlottesville-wii-console-controllers/7823717789.html,missing
"PS5 GAMES, CONTROLLERS & MORE",10,https://charlottesville.craigslist.org/vgm/d/staunton-ps5-games-controllers-more/7820105431.html,PS5
WORKING PS4 WITH GAMES,175,https://charlottesville.craigslist.org/vgm/d/troy-working-ps4-with-games/7823593797.html,PS4
META QUEST 2 WITH BATTERY HEADSET AND CHARGING STATION,200,https://charlottesville.craigslist.org/vgm/d/charlottesville-meta-quest-with-battery/7823586933.html,missing
PS5 SLIM 1TB,600,https://charlottesville.craigslist.org/vgm/d/charlottesville-ps5-slim-1tb/7823477508.html,PS5
LOTS OF CHEAP PLAYSTATION 4 GAMES (SOME SEALED!) ALL WORK ON PS4/PS5!,10,https://charlottesville.craigslist.org/vgm/d/staunton-lots-of-cheap-playstation/7820841955.html,missing
"PS5 GAMES, CONTROLLERS, AND MORE",10,https://charlottesville.craigslist.org/vgm/d/staunton-ps5-games-controllers-and-more/7817908670.html,PS5
MASS EFFECT 3 PS3 GAME EXCELLENT CONDITION,5,https://charlottesville.craigslist.org/vgm/d/staunton-mass-effect-ps3-game-excellent/7823445072.html,PS3
HTC VIVE VR HEADSET & TRIPOD TOWERS,150,https://charlottesville.craigslist.org/vgm/d/charlottesville-htc-vive-vr-headset/7823219801.html,VR
STARSKY & HUTCH PS2 VIDEO GAME,10,https://charlottesville.craigslist.org/vgm/d/nellysford-starsky-hutch-ps2-video-game/7817535565.html,PS2
DISNEY INFINITY 3.0 XBOX GAME & CHARACTER LOT,40,https://charlottesville.craigslist.org/vgm/d/waynesboro-disney-infinity-30-xbox-game/7820126459.html,missing
PS VITA GAMES,10,https://charlottesville.craigslist.org/vgm/d/charlottesville-ps-vita-games/7820632721.html,missing
NINTENDO SWITCH GAMES NEW GAMES ADDED!,10,https://charlottesville.craigslist.org/vgm/d/waynesboro-nintendo-switch-games-new/7814362982.html,missing
13 XBOX 360 GAMES,2,https://charlottesville.craigslist.org/vgm/d/quinque-13-xbox-360-games/7817882423.html,missing
DEATH STRANDING PLAYSTATION 4 GAME NEW SEALED,15,https://charlottesville.craigslist.org/vgm/d/staunton-death-stranding-playstation/7814595159.html,missing
â–º PENGUIN WARS PS4 RARE GAME,20,https://charlottesville.craigslist.org/vgm/d/charlottesville-penguin-wars-ps4-rare/7816788550.html,PS4
"XBOX ONE X 1 TB, 2 CONTROLLERS, EXT HDD 1TB, 7 GAMES",250,https://charlottesville.craigslist.org/vgm/d/louisa-xbox-one-1-tb-controllers-ext/7821204905.html,missing
COD MODERN WARFARE 2 PS3 GAME CALL OF DUTY MODERN WARFARE 2,5,https://charlottesville.craigslist.org/vgm/d/staunton-cod-modern-warfare-ps3-game/7813743986.html,PS3
POKEMON SHINING PEARL,45,https://charlottesville.craigslist.org/vgm/d/montpelier-station-pokemon-shining-pearl/7820111615.html,missing
PS4 W/5 GAMES & PS3 W/8 GAMES,200,https://charlottesville.craigslist.org/vgm/d/charlottesville-ps4-5-games-ps3-8-games/7820066109.html,PS4
PS4 +GAMES FOR SALE,150,https://charlottesville.craigslist.org/vgm/d/charlottesville-ps4-games-for-sale/7813642487.html,PS4
XBOX ONE WITH CONTROLLER IN BOX. LIKE NEW DISC GAMES AVAIALABLE.,159,https://charlottesville.craigslist.org/vgm/d/charlottesville-xbox-one-with/7811887231.html,missing
XBOX ONE WITH CONTROLLER IN BOX. LIKE NEW DISC GAMES AVAIALABLE.,159,https://charlottesville.craigslist.org/vgm/d/charlottesville-xbox-one-with/7811889134.html,missing
$50 PLAYSTATION STORE GIFT CARD,40,https://charlottesville.craigslist.org/vgm/d/charlottesville-50-playstation-store/7816822522.html,missing
ELGATO GREEN SCREEN LIKE NEW,75,https://charlottesville.craigslist.org/vgm/d/charlottesville-elgato-green-screen/7815601885.html,missing
XBOX LIVE GOLD 12 MONTH,50,https://charlottesville.craigslist.org/vgm/d/charlottesville-xbox-live-gold-12-month/7815481616.html,missing
POKEMON X SEALED NIB,100,https://charlottesville.craigslist.org/vgm/d/charlottesville-pokemon-sealed-nib/7812738678.html,missing
USED PS5,400,https://charlottesville.craigslist.org/vgm/d/quinque-used-ps5/7807207395.html,PS5
